GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACE library,se.sics.ace.coap.as,DtlsAS,103,234,14,8,18,45,13,3,2,3
ACE library,se.sics.ace.coap.as,OscoreAceEndpoint,50,66,4,2,16,15,6,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS.IdPair,8,32,1,1,1,10,1,3,0,3
ACE library,se.sics.ace.coap.as,CoapDtlsEndpoint,48,65,4,2,16,15,6,3,3,3
ACE library,se.sics.ace.coap.as,OscoreAS,58,189,5,7,10,41,8,4,3,3
ACE library,se.sics.ace.coap.as,CoapDBConnector,22,82,5,7,10,26,6,10,1,9
ACE library,se.sics.ace.cwt,CWT,81,641,29,54,22,152,27,32,1,14
ACE library,se.sics.ace.cwt,CwtCryptoCtx,0,226,1,1,0,47,1,20,0,20
ACE library,se.sics.ace,GroupcommParameters,839,376,279,31,197,100,154,6,1,4
ACE library,se.sics.ace,AceException,0,4,0,0,0,2,0,1,0,1
ACE library,se.sics.ace,Util,806,955,137,117,183,238,112,47,8,22
ACE library,se.sics.ace,GroupcommErrors,3,56,0,0,1,1,1,1,1,1
ACE library,se.sics.ace,COSEparams,43,93,9,1,12,19,7,6,2,6
ACE library,se.sics.ace,ReferenceToken,169,49,21,1,39,13,15,5,4,5
ACE library,se.sics.ace,Message,0,31,0,0,0,10,0,1,0,1
ACE library,se.sics.ace,Constants,178,493,37,9,42,128,24,7,3,4
ACE library,se.sics.ace,GroupcommPolicies,3,10,0,0,1,3,1,1,1,1
ACE library,se.sics.ace,Hkdf,389,95,1,3,10,22,3,3,2,2
ACE library,se.sics.ace.oscore.as,GroupOSCOREJoinPDP,395,1935,76,178,111,422,72,77,2,20
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreCtxDbSingleton,3,8,0,2,1,3,1,2,1,1
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreAuthzInfo,159,426,10,34,38,102,10,17,0,5
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreIntrospection,69,113,8,2,15,26,5,3,0,3
ACE library,se.sics.ace.coap.rs.oscoreProfile,OscoreSecurityContext,51,337,10,32,15,81,11,17,1,6
ACE library,se.sics.ace.examples,PostgreSQLDBAdapter,482,0,22,0,112,0,19,0,8,0
ACE library,se.sics.ace.examples,MySQLDBAdapter,30,728,4,4,9,76,4,8,0,8
ACE library,se.sics.ace.examples,XacmlPDP,552,0,50,0,130,0,31,0,6,0
ACE library,se.sics.ace.examples,LocalMessage,30,146,5,13,6,36,4,17,1,11
ACE library,se.sics.ace.examples,KissPDP,254,844,30,56,64,180,28,31,1,15
ACE library,se.sics.ace.examples,Aif,55,187,8,20,13,40,9,12,1,6
ACE library,se.sics.ace.examples,SQLConnector,767,2735,88,232,197,752,87,126,5,48
ACE library,se.sics.ace.examples,KissTime,0,8,0,0,0,2,0,2,0,2
ACE library,se.sics.ace.examples,XacmlPDP.new FilenameFilter() {...},11,0,0,0,2,0,2,0,2,0
ACE library,se.sics.ace.examples,KissValidator,72,158,15,19,19,31,13,11,2,5
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourcePolicies,66,97,5,5,17,27,5,2,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceNum,27,121,3,5,8,31,3,3,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORERootGroupMembershipResource,47,315,11,27,16,69,10,11,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceKdcCred,473,195,42,8,126,47,26,2,1,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceStaleSids,131,89,14,8,37,24,11,2,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceCreds,243,526,69,59,78,121,53,14,0,3
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceNodes,0,15,0,0,0,3,0,1,0,1
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceNodenameCred,423,369,49,37,118,89,44,2,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceActive,61,87,4,4,16,23,4,2,0,2
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCOREGroupCollectionResource,1491,1765,165,103,279,356,122,21,1,8
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceNodename,310,469,26,26,82,105,26,4,0,4
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCORESubResourceVerifData,318,23,26,0,74,5,14,1,1,1
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCOREGroupMembershipResource,734,1477,116,102,203,314,105,8,0,3
ACE library,se.sics.ace.oscore.rs.oscoreGroupManager,GroupOSCOREGroupConfigurationResource,1267,1482,145,169,314,345,111,58,2,10
ACE library,se.sics.ace.client,GetToken,191,28,36,4,48,8,23,2,4,1
ACE library,se.sics.ace.rs,TokenRepository,663,1882,114,204,152,436,99,92,3,29
ACE library,se.sics.ace.rs,AuthzInfo,385,970,33,81,89,233,31,37,0,10
ACE library,se.sics.ace.rs,CnonceHandler,98,267,12,18,25,66,9,13,1,6
ACE library,se.sics.ace.rs,IntrospectionException,10,0,0,0,4,0,2,0,2,0
ACE library,se.sics.ace.rs,AsRequestCreationHints,87,113,13,17,19,29,11,7,0,3
ACE library,se.sics.ace.coap,BksStore,47,355,7,21,9,81,7,20,0,13
ACE library,se.sics.ace.coap,CoapReq,31,180,8,22,10,48,10,18,3,10
ACE library,se.sics.ace.coap,CoapRes,72,33,6,2,21,9,10,5,7,4
ACE library,se.sics.ace.oscore.rs,DtlspPskStoreGroupOSCORE,54,199,12,18,15,53,13,10,1,7
ACE library,se.sics.ace.oscore.rs,Util,54,0,2,0,8,0,3,0,2,0
ACE library,se.sics.ace.oscore.rs,CoapAuthzInfoGroupOSCORE,16,54,0,0,5,16,0,3,0,3
ACE library,se.sics.ace.oscore.rs,AuthzInfoGroupOSCORE,159,493,30,48,39,115,28,17,0,6
ACE library,se.sics.ace.oscore.rs,OscoreAuthzInfoGroupOSCORE,442,628,47,67,104,151,45,18,0,6
ACE library,se.sics.ace.oscore.rs,GroupOSCOREValidator,315,808,87,119,82,175,85,39,9,12
ACE library,se.sics.ace.coap.rs,CoapAuthzInfo,17,84,1,3,5,24,1,4,0,3
ACE library,se.sics.ace.coap.rs,CoapDeliverer,314,223,23,18,73,65,17,11,2,4
ACE library,se.sics.ace.coap.client,OSCOREProfileRequests,259,480,34,36,50,119,34,7,1,5
ACE library,se.sics.ace.coap.client,OSCOREProfileRequestsGroupOSCORE,378,518,52,52,71,130,53,5,2,4
ACE library,se.sics.ace.coap.client,DTLSProfileRequests,317,478,25,15,63,105,21,9,2,8
ACE library,se.sics.ace.as,Token,1849,1981,148,180,335,467,107,76,3,11
ACE library,se.sics.ace.as,PDP.IntrospectAccessLevel,0,34,0,0,0,4,0,1,0,1
ACE library,se.sics.ace.as,ExtraLogger.Const,20,0,0,0,9,0,2,0,2,0
ACE library,se.sics.ace.as,Authorize,29,0,0,0,10,0,4,0,4,0
ACE library,se.sics.ace.as,EndpointUtils,116,106,14,15,29,29,13,8,2,2
ACE library,se.sics.ace.as,Token.IdContextInfo,157,49,14,3,20,12,12,2,1,2
ACE library,se.sics.ace.as,AccessTokenFactory,13,37,2,3,3,6,3,3,1,2
ACE library,se.sics.ace.as,ExtraLogger,46,0,2,0,9,0,5,0,4,0
ACE library,se.sics.ace.as,Introspect,284,315,17,27,56,79,16,11,0,5
ACE library,se.sics.ace.oscore,GroupOSCOREInputMaterialObject,8,0,0,0,3,0,2,0,2,0
ACE library,se.sics.ace.oscore,OSCOREInputMaterialObjectParameters,114,0,8,0,17,0,8,0,4,0
ACE library,se.sics.ace.oscore,GroupOSCOREInputMaterialObjectParameters,67,0,0,0,2,0,2,0,2,0
ACE library,se.sics.ace.oscore,OSCOREInputMaterialObject,31,0,0,0,8,0,5,0,5,0
ACE library,se.sics.ace.oscore,GroupInfo,895,1357,172,122,221,292,149,82,24,60
ACE library,se.sics.ace.coap.rs.dtlsProfile,DtlspIntrospection,41,320,4,2,8,71,3,4,0,4
ACE library,se.sics.ace.coap.rs.dtlsProfile,DtlspPskStore,54,199,12,18,15,52,13,10,1,7
